Category: All categories

Week,Apple: (Worldwide)
2018-02-11,25
2018-02-18,25
2018-02-25,25
2018-03-04,24
2018-03-11,25
2018-03-18,23
2018-03-25,27
2018-04-01,24
2018-04-08,25
2018-04-15,24
2018-04-22,24
2018-04-29,24
2018-05-06,22
2018-05-13,25
2018-05-20,23
2018-05-27,24
2018-06-03,25
2018-06-10,24
2018-06-17,23
2018-06-24,22
2018-07-01,21
2018-07-08,25
2018-07-15,25
2018-07-22,25
2018-07-29,27
2018-08-05,25
2018-08-12,25
2018-08-19,25
2018-08-26,26
2018-09-02,25
2018-09-09,49
2018-09-16,33
2018-09-23,30
2018-09-30,28
2018-10-07,27
2018-10-14,26
2018-10-21,27
2018-10-28,33
2018-11-04,28
2018-11-11,29
2018-11-18,35
2018-11-25,30
2018-12-02,28
2018-12-09,31
2018-12-16,29
2018-12-23,34
2018-12-30,30
2019-01-06,28
2019-01-13,26
2019-01-20,24
2019-01-27,24
2019-02-03,23
2019-02-10,22
2019-02-17,22
2019-02-24,22
2019-03-03,22
2019-03-10,21
2019-03-17,24
2019-03-24,28
2019-03-31,24
2019-04-07,23
2019-04-14,22
2019-04-21,23
2019-04-28,22
2019-05-05,24
2019-05-12,22
2019-05-19,23
2019-05-26,22
2019-06-02,30
2019-06-09,25
2019-06-16,24
2019-06-23,24
2019-06-30,23
2019-07-07,24
2019-07-14,23
2019-07-21,23
2019-07-28,23
2019-08-04,25
2019-08-11,25
2019-08-18,26
2019-08-25,45
2019-09-01,100
2019-09-08,89
2019-09-15,74
2019-09-22,53
2019-09-29,30
2019-10-06,29
2019-10-13,29
2019-10-20,27
2019-10-27,31
2019-11-03,29
2019-11-10,30
2019-11-17,30
2019-11-24,37
2019-12-01,31
2019-12-08,29
2019-12-15,31
2019-12-22,35
2019-12-29,29
2020-01-05,27
2020-01-12,26
2020-01-19,25
2020-01-26,26
2020-02-02,24
2020-02-09,26
2020-02-16,26
2020-02-23,24
2020-03-01,25
2020-03-08,24
2020-03-15,27
2020-03-22,26
2020-03-29,25
2020-04-05,25
2020-04-12,30
2020-04-19,32
2020-04-26,28
2020-05-03,28
2020-05-10,28
2020-05-17,28
2020-05-24,28
2020-05-31,27
2020-06-07,27
2020-06-14,28
2020-06-21,31
2020-06-28,28
2020-07-05,27
2020-07-12,29
2020-07-19,28
2020-07-26,28
2020-08-02,29
2020-08-09,30
2020-08-16,30
2020-08-23,32
2020-08-30,34
2020-09-06,32
2020-09-13,43
2020-09-20,35
2020-09-27,31
2020-10-04,28
2020-10-11,45
2020-10-18,34
2020-10-25,31
2020-11-01,31
2020-11-08,36
2020-11-15,34
2020-11-22,40
2020-11-29,33
2020-12-06,33
2020-12-13,32
2020-12-20,35
2020-12-27,34
2021-01-03,30
2021-01-10,29
2021-01-17,29
2021-01-24,29
2021-01-31,28
2021-02-07,27
2021-02-14,27
2021-02-21,25
2021-02-28,25
2021-03-07,26
2021-03-14,25
2021-03-21,25
2021-03-28,24
2021-04-04,23
2021-04-11,24
2021-04-18,30
2021-04-25,28
2021-05-02,26
2021-05-09,24
2021-05-16,25
2021-05-23,25
2021-05-30,24
2021-06-06,27
2021-06-13,25
2021-06-20,26
2021-06-27,26
2021-07-04,26
2021-07-11,26
2021-07-18,27
2021-07-25,26
2021-08-01,26
2021-08-08,26
2021-08-15,26
2021-08-22,26
2021-08-29,27
2021-09-05,29
2021-09-12,45
2021-09-19,34
2021-09-26,32
2021-10-03,34
2021-10-10,31
2021-10-17,37
2021-10-24,31
2021-10-31,31
2021-11-07,31
2021-11-14,32
2021-11-21,38
2021-11-28,32
2021-12-05,32
2021-12-12,33
2021-12-19,34
2021-12-26,36
2022-01-02,35
2022-01-09,32
2022-01-16,28
2022-01-23,30
2022-01-30,31
2022-02-06,30
2022-02-13,29
2022-02-20,28
2022-02-27,29
2022-03-06,33
2022-03-13,30
2022-03-20,29
2022-03-27,27
2022-04-03,26
2022-04-10,27
2022-04-17,27
2022-04-24,27
2022-05-01,27
2022-05-08,27
2022-05-15,25
2022-05-22,27
2022-05-29,26
2022-06-05,30
2022-06-12,27
2022-06-19,27
2022-06-26,27
2022-07-03,27
2022-07-10,29
2022-07-17,29
2022-07-24,29
2022-07-31,29
2022-08-07,29
2022-08-14,30
2022-08-21,30
2022-08-28,30
2022-09-04,48
2022-09-11,38
2022-09-18,35
2022-09-25,32
2022-10-02,31
2022-10-09,31
2022-10-16,30
2022-10-23,32
2022-10-30,30
2022-11-06,30
2022-11-13,31
2022-11-20,35
2022-11-27,33
2022-12-04,30
2022-12-11,31
2022-12-18,30
2022-12-25,36
2023-01-01,33
2023-01-08,30
2023-01-15,30
2023-01-22,30
2023-01-29,31
