Category: All categories

Week,Charging station: (Worldwide)
2018-02-18,26
2018-02-25,27
2018-03-04,26
2018-03-11,27
2018-03-18,27
2018-03-25,26
2018-04-01,27
2018-04-08,25
2018-04-15,26
2018-04-22,25
2018-04-29,26
2018-05-06,24
2018-05-13,27
2018-05-20,26
2018-05-27,28
2018-06-03,28
2018-06-10,27
2018-06-17,26
2018-06-24,27
2018-07-01,27
2018-07-08,30
2018-07-15,30
2018-07-22,30
2018-07-29,29
2018-08-05,29
2018-08-12,30
2018-08-19,29
2018-08-26,28
2018-09-02,30
2018-09-09,30
2018-09-16,30
2018-09-23,28
2018-09-30,30
2018-10-07,32
2018-10-14,33
2018-10-21,32
2018-10-28,31
2018-11-04,32
2018-11-11,33
2018-11-18,36
2018-11-25,37
2018-12-02,35
2018-12-09,39
2018-12-16,38
2018-12-23,44
2018-12-30,37
2019-01-06,34
2019-01-13,39
2019-01-20,36
2019-01-27,31
2019-02-03,31
2019-02-10,31
2019-02-17,31
2019-02-24,32
2019-03-03,34
2019-03-10,32
2019-03-17,33
2019-03-24,33
2019-03-31,35
2019-04-07,35
2019-04-14,34
2019-04-21,36
2019-04-28,36
2019-05-05,38
2019-05-12,33
2019-05-19,35
2019-05-26,37
2019-06-02,34
2019-06-09,38
2019-06-16,35
2019-06-23,37
2019-06-30,36
2019-07-07,39
2019-07-14,39
2019-07-21,44
2019-07-28,37
2019-08-04,36
2019-08-11,39
2019-08-18,37
2019-08-25,34
2019-09-01,38
2019-09-08,36
2019-09-15,39
2019-09-22,38
2019-09-29,37
2019-10-06,33
2019-10-13,47
2019-10-20,39
2019-10-27,40
2019-11-03,42
2019-11-10,42
2019-11-17,45
2019-11-24,44
2019-12-01,44
2019-12-08,45
2019-12-15,48
2019-12-22,53
2019-12-29,46
2020-01-05,44
2020-01-12,42
2020-01-19,43
2020-01-26,41
2020-02-02,44
2020-02-09,45
2020-02-16,40
2020-02-23,41
2020-03-01,41
2020-03-08,33
2020-03-15,24
2020-03-22,23
2020-03-29,24
2020-04-05,24
2020-04-12,26
2020-04-19,26
2020-04-26,27
2020-05-03,29
2020-05-10,33
2020-05-17,32
2020-05-24,33
2020-05-31,36
2020-06-07,38
2020-06-14,40
2020-06-21,39
2020-06-28,42
2020-07-05,42
2020-07-12,44
2020-07-19,44
2020-07-26,43
2020-08-02,42
2020-08-09,39
2020-08-16,41
2020-08-23,42
2020-08-30,42
2020-09-06,43
2020-09-13,43
2020-09-20,45
2020-09-27,41
2020-10-04,45
2020-10-11,43
2020-10-18,42
2020-10-25,44
2020-11-01,41
2020-11-08,51
2020-11-15,64
2020-11-22,70
2020-11-29,66
2020-12-06,66
2020-12-13,59
2020-12-20,59
2020-12-27,59
2021-01-03,56
2021-01-10,53
2021-01-17,55
2021-01-24,58
2021-01-31,59
2021-02-07,56
2021-02-14,60
2021-02-21,56
2021-02-28,59
2021-03-07,59
2021-03-14,57
2021-03-21,59
2021-03-28,58
2021-04-04,57
2021-04-11,55
2021-04-18,56
2021-04-25,56
2021-05-02,57
2021-05-09,61
2021-05-16,62
2021-05-23,63
2021-05-30,63
2021-06-06,60
2021-06-13,64
2021-06-20,63
2021-06-27,70
2021-07-04,73
2021-07-11,72
2021-07-18,73
2021-07-25,68
2021-08-01,71
2021-08-08,76
2021-08-15,70
2021-08-22,70
2021-08-29,65
2021-09-05,67
2021-09-12,68
2021-09-19,74
2021-09-26,75
2021-10-03,73
2021-10-10,76
2021-10-17,76
2021-10-24,80
2021-10-31,85
2021-11-07,87
2021-11-14,83
2021-11-21,88
2021-11-28,84
2021-12-05,80
2021-12-12,82
2021-12-19,81
2021-12-26,82
2022-01-02,87
2022-01-09,75
2022-01-16,78
2022-01-23,82
2022-01-30,79
2022-02-06,80
2022-02-13,82
2022-02-20,79
2022-02-27,79
2022-03-06,98
2022-03-13,98
2022-03-20,100
2022-03-27,89
2022-04-03,83
2022-04-10,84
2022-04-17,84
2022-04-24,78
2022-05-01,78
2022-05-08,78
2022-05-15,77
2022-05-22,77
2022-05-29,77
2022-06-05,83
2022-06-12,85
2022-06-19,88
2022-06-26,86
2022-07-03,87
2022-07-10,86
2022-07-17,84
2022-07-24,81
2022-07-31,80
2022-08-07,79
2022-08-14,84
2022-08-21,80
2022-08-28,78
2022-09-04,78
2022-09-11,75
2022-09-18,77
2022-09-25,77
2022-10-02,73
2022-10-09,77
2022-10-16,76
2022-10-23,79
2022-10-30,76
2022-11-06,76
2022-11-13,79
2022-11-20,82
2022-11-27,84
2022-12-04,82
2022-12-11,87
2022-12-18,87
2022-12-25,93
2023-01-01,85
2023-01-08,85
2023-01-15,83
2023-01-22,85
2023-01-29,85
2023-02-05,76
