Category: All categories

Week,Cars: (Worldwide)
2018-02-18,99
2018-02-25,99
2018-03-04,91
2018-03-11,92
2018-03-18,93
2018-03-25,93
2018-04-01,94
2018-04-08,91
2018-04-15,89
2018-04-22,86
2018-04-29,90
2018-05-06,85
2018-05-13,86
2018-05-20,87
2018-05-27,89
2018-06-03,90
2018-06-10,89
2018-06-17,85
2018-06-24,85
2018-07-01,85
2018-07-08,91
2018-07-15,92
2018-07-22,90
2018-07-29,90
2018-08-05,91
2018-08-12,91
2018-08-19,89
2018-08-26,88
2018-09-02,86
2018-09-09,84
2018-09-16,85
2018-09-23,75
2018-09-30,82
2018-10-07,85
2018-10-14,82
2018-10-21,81
2018-10-28,80
2018-11-04,77
2018-11-11,83
2018-11-18,79
2018-11-25,79
2018-12-02,83
2018-12-09,83
2018-12-16,82
2018-12-23,83
2018-12-30,86
2019-01-06,85
2019-01-13,90
2019-01-20,84
2019-01-27,86
2019-02-03,87
2019-02-10,85
2019-02-17,89
2019-02-24,90
2019-03-03,88
2019-03-10,85
2019-03-17,93
2019-03-24,85
2019-03-31,86
2019-04-07,81
2019-04-14,82
2019-04-21,86
2019-04-28,83
2019-05-05,83
2019-05-12,85
2019-05-19,87
2019-05-26,85
2019-06-02,84
2019-06-09,80
2019-06-16,82
2019-06-23,85
2019-06-30,81
2019-07-07,90
2019-07-14,97
2019-07-21,97
2019-07-28,100
2019-08-04,100
2019-08-11,92
2019-08-18,84
2019-08-25,86
2019-09-01,84
2019-09-08,84
2019-09-15,93
2019-09-22,82
2019-09-29,81
2019-10-06,81
2019-10-13,80
2019-10-20,81
2019-10-27,76
2019-11-03,78
2019-11-10,80
2019-11-17,82
2019-11-24,77
2019-12-01,81
2019-12-08,78
2019-12-15,80
2019-12-22,82
2019-12-29,89
2020-01-05,84
2020-01-12,84
2020-01-19,87
2020-01-26,84
2020-02-02,86
2020-02-09,84
2020-02-16,89
2020-02-23,88
2020-03-01,88
2020-03-08,75
2020-03-15,65
2020-03-22,59
2020-03-29,56
2020-04-05,62
2020-04-12,68
2020-04-19,64
2020-04-26,65
2020-05-03,70
2020-05-10,76
2020-05-17,75
2020-05-24,85
2020-05-31,81
2020-06-07,88
2020-06-14,87
2020-06-21,88
2020-06-28,87
2020-07-05,87
2020-07-12,87
2020-07-19,91
2020-07-26,88
2020-08-02,87
2020-08-09,86
2020-08-16,86
2020-08-23,86
2020-08-30,81
2020-09-06,88
2020-09-13,82
2020-09-20,85
2020-09-27,80
2020-10-04,81
2020-10-11,80
2020-10-18,80
2020-10-25,77
2020-11-01,69
2020-11-08,73
2020-11-15,76
2020-11-22,75
2020-11-29,76
2020-12-06,76
2020-12-13,77
2020-12-20,76
2020-12-27,85
2021-01-03,79
2021-01-10,76
2021-01-17,78
2021-01-24,81
2021-01-31,78
2021-02-07,76
2021-02-14,79
2021-02-21,82
2021-02-28,82
2021-03-07,79
2021-03-14,81
2021-03-21,86
2021-03-28,81
2021-04-04,81
2021-04-11,80
2021-04-18,82
2021-04-25,82
2021-05-02,79
2021-05-09,80
2021-05-16,79
2021-05-23,76
2021-05-30,79
2021-06-06,78
2021-06-13,83
2021-06-20,82
2021-06-27,84
2021-07-04,83
2021-07-11,83
2021-07-18,85
2021-07-25,83
2021-08-01,83
2021-08-08,86
2021-08-15,82
2021-08-22,81
2021-08-29,80
2021-09-05,76
2021-09-12,78
2021-09-19,79
2021-09-26,77
2021-10-03,81
2021-10-10,78
2021-10-17,74
2021-10-24,73
2021-10-31,75
2021-11-07,80
2021-11-14,80
2021-11-21,74
2021-11-28,73
2021-12-05,70
2021-12-12,72
2021-12-19,70
2021-12-26,79
2022-01-02,75
2022-01-09,76
2022-01-16,71
2022-01-23,75
2022-01-30,76
2022-02-06,78
2022-02-13,79
2022-02-20,74
2022-02-27,75
2022-03-06,83
2022-03-13,79
2022-03-20,78
2022-03-27,76
2022-04-03,76
2022-04-10,79
2022-04-17,76
2022-04-24,75
2022-05-01,73
2022-05-08,70
2022-05-15,73
2022-05-22,71
2022-05-29,70
2022-06-05,74
2022-06-12,76
2022-06-19,75
2022-06-26,76
2022-07-03,73
2022-07-10,71
2022-07-17,76
2022-07-24,77
2022-07-31,77
2022-08-07,80
2022-08-14,73
2022-08-21,76
2022-08-28,72
2022-09-04,74
2022-09-11,74
2022-09-18,74
2022-09-25,68
2022-10-02,70
2022-10-09,70
2022-10-16,66
2022-10-23,67
2022-10-30,66
2022-11-06,64
2022-11-13,66
2022-11-20,62
2022-11-27,64
2022-12-04,60
2022-12-11,64
2022-12-18,66
2022-12-25,77
2023-01-01,72
2023-01-08,73
2023-01-15,74
2023-01-22,72
2023-01-29,72
2023-02-05,73
