Week,EV: (Worldwide)
2013-02-17,65
2013-02-24,66
2013-03-03,68
2013-03-10,67
2013-03-17,71
2013-03-24,75
2013-03-31,70
2013-04-07,68
2013-04-14,69
2013-04-21,68
2013-04-28,69
2013-05-05,71
2013-05-12,68
2013-05-19,69
2013-05-26,66
2013-06-02,63
2013-06-09,69
2013-06-16,67
2013-06-23,64
2013-06-30,64
2013-07-07,64
2013-07-14,69
2013-07-21,71
2013-07-28,65
2013-08-04,58
2013-08-11,69
2013-08-18,67
2013-08-25,67
2013-09-01,69
2013-09-08,72
2013-09-15,67
2013-09-22,68
2013-09-29,68
2013-10-06,65
2013-10-13,64
2013-10-20,73
2013-10-27,73
2013-11-03,77
2013-11-10,74
2013-11-17,71
2013-11-24,74
2013-12-01,72
2013-12-08,75
2013-12-15,73
2013-12-22,77
2013-12-29,73
2014-01-05,76
2014-01-12,74
2014-01-19,75
2014-01-26,75
2014-02-02,73
2014-02-09,75
2014-02-16,74
2014-02-23,73
2014-03-02,76
2014-03-09,76
2014-03-16,71
2014-03-23,66
2014-03-30,69
2014-04-06,75
2014-04-13,74
2014-04-20,73
2014-04-27,77
2014-05-04,78
2014-05-11,72
2014-05-18,72
2014-05-25,75
2014-06-01,74
2014-06-08,71
2014-06-15,75
2014-06-22,69
2014-06-29,74
2014-07-06,75
2014-07-13,74
2014-07-20,74
2014-07-27,64
2014-08-03,77
2014-08-10,73
2014-08-17,79
2014-08-24,75
2014-08-31,76
2014-09-07,76
2014-09-14,78
2014-09-21,69
2014-09-28,65
2014-10-05,68
2014-10-12,73
2014-10-19,72
2014-10-26,73
2014-11-02,70
2014-11-09,72
2014-11-16,78
2014-11-23,75
2014-11-30,77
2014-12-07,71
2014-12-14,77
2014-12-21,81
2014-12-28,79
2015-01-04,74
2015-01-11,77
2015-01-18,78
2015-01-25,83
2015-02-01,77
2015-02-08,75
2015-02-15,85
2015-02-22,79
2015-03-01,83
2015-03-08,88
2015-03-15,85
2015-03-22,88
2015-03-29,80
2015-04-05,82
2015-04-12,76
2015-04-19,79
2015-04-26,80
2015-05-03,76
2015-05-10,77
2015-05-17,80
2015-05-24,77
2015-05-31,75
2015-06-07,73
2015-06-14,74
2015-06-21,79
2015-06-28,79
2015-07-05,85
2015-07-12,74
2015-07-19,83
2015-07-26,83
2015-08-02,83
2015-08-09,84
2015-08-16,79
2015-08-23,82
2015-08-30,79
2015-09-06,83
2015-09-13,77
2015-09-20,67
2015-09-27,76
2015-10-04,78
2015-10-11,76
2015-10-18,76
2015-10-25,76
2015-11-01,74
2015-11-08,83
2015-11-15,76
2015-11-22,79
2015-11-29,81
2015-12-06,84
2015-12-13,87
2015-12-20,86
2015-12-27,88
2016-01-03,85
2016-01-10,85
2016-01-17,84
2016-01-24,85
2016-01-31,89
2016-02-07,93
2016-02-14,89
2016-02-21,90
2016-02-28,93
2016-03-06,86
2016-03-13,88
2016-03-20,89
2016-03-27,91
2016-04-03,85
2016-04-10,85
2016-04-17,81
2016-04-24,84
2016-05-01,86
2016-05-08,83
2016-05-15,85
2016-05-22,84
2016-05-29,83
2016-06-05,82
2016-06-12,83
2016-06-19,87
2016-06-26,86
2016-07-03,83
2016-07-10,89
2016-07-17,81
2016-07-24,92
2016-07-31,92
2016-08-07,100
2016-08-14,93
2016-08-21,92
2016-08-28,94
2016-09-04,89
2016-09-11,75
2016-09-18,87
2016-09-25,86
2016-10-02,91
2016-10-09,86
2016-10-16,84
2016-10-23,86
2016-10-30,86
