Category: All categories

Week,random: (Worldwide)
2018-02-11,62
2018-02-18,59
2018-02-25,61
2018-03-04,59
2018-03-11,60
2018-03-18,60
2018-03-25,61
2018-04-01,59
2018-04-08,60
2018-04-15,60
2018-04-22,59
2018-04-29,59
2018-05-06,58
2018-05-13,59
2018-05-20,59
2018-05-27,58
2018-06-03,58
2018-06-10,56
2018-06-17,53
2018-06-24,49
2018-07-01,50
2018-07-08,51
2018-07-15,55
2018-07-22,52
2018-07-29,51
2018-08-05,53
2018-08-12,52
2018-08-19,50
2018-08-26,54
2018-09-02,55
2018-09-09,57
2018-09-16,59
2018-09-23,59
2018-09-30,60
2018-10-07,60
2018-10-14,60
2018-10-21,62
2018-10-28,62
2018-11-04,61
2018-11-11,61
2018-11-18,57
2018-11-25,64
2018-12-02,64
2018-12-09,62
2018-12-16,56
2018-12-23,46
2018-12-30,51
2019-01-06,55
2019-01-13,59
2019-01-20,55
2019-01-27,60
2019-02-03,61
2019-02-10,63
2019-02-17,62
2019-02-24,60
2019-03-03,61
2019-03-10,60
2019-03-17,62
2019-03-24,60
2019-03-31,63
2019-04-07,59
2019-04-14,61
2019-04-21,62
2019-04-28,60
2019-05-05,60
2019-05-12,60
2019-05-19,59
2019-05-26,58
2019-06-02,60
2019-06-09,58
2019-06-16,59
2019-06-23,59
2019-06-30,55
2019-07-07,60
2019-07-14,55
2019-07-21,57
2019-07-28,68
2019-08-04,64
2019-08-11,60
2019-08-18,61
2019-08-25,60
2019-09-01,62
2019-09-08,62
2019-09-15,64
2019-09-22,67
2019-09-29,64
2019-10-06,67
2019-10-13,67
2019-10-20,67
2019-10-27,65
2019-11-03,72
2019-11-10,69
2019-11-17,71
2019-11-24,60
2019-12-01,68
2019-12-08,68
2019-12-15,67
2019-12-22,56
2019-12-29,59
2020-01-05,65
2020-01-12,65
2020-01-19,68
2020-01-26,68
2020-02-02,71
2020-02-09,75
2020-02-16,75
2020-02-23,75
2020-03-01,71
2020-03-08,70
2020-03-15,73
2020-03-22,76
2020-03-29,82
2020-04-05,85
2020-04-12,87
2020-04-19,88
2020-04-26,86
2020-05-03,84
2020-05-10,84
2020-05-17,86
2020-05-24,78
2020-05-31,77
2020-06-07,78
2020-06-14,76
2020-06-21,75
2020-06-28,71
2020-07-05,71
2020-07-12,74
2020-07-19,72
2020-07-26,71
2020-08-02,69
2020-08-09,72
2020-08-16,73
2020-08-23,76
2020-08-30,70
2020-09-06,77
2020-09-13,77
2020-09-20,74
2020-09-27,70
2020-10-04,69
2020-10-11,68
2020-10-18,67
2020-10-25,66
2020-11-01,64
2020-11-08,69
2020-11-15,74
2020-11-22,67
2020-11-29,71
2020-12-06,67
2020-12-13,70
2020-12-20,67
2020-12-27,66
2021-01-03,65
2021-01-10,69
2021-01-17,68
2021-01-24,72
2021-01-31,71
2021-02-07,71
2021-02-14,72
2021-02-21,76
2021-02-28,74
2021-03-07,73
2021-03-14,70
2021-03-21,72
2021-03-28,71
2021-04-04,73
2021-04-11,72
2021-04-18,73
2021-04-25,69
2021-05-02,70
2021-05-09,75
2021-05-16,68
2021-05-23,68
2021-05-30,67
2021-06-06,66
2021-06-13,67
2021-06-20,67
2021-06-27,64
2021-07-04,64
2021-07-11,67
2021-07-18,64
2021-07-25,63
2021-08-01,64
2021-08-08,63
2021-08-15,63
2021-08-22,68
2021-08-29,65
2021-09-05,66
2021-09-12,69
2021-09-19,66
2021-09-26,64
2021-10-03,69
2021-10-10,69
2021-10-17,70
2021-10-24,71
2021-10-31,71
2021-11-07,69
2021-11-14,74
2021-11-21,71
2021-11-28,69
2021-12-05,73
2021-12-12,75
2021-12-19,67
2021-12-26,68
2022-01-02,79
2022-01-09,79
2022-01-16,80
2022-01-23,86
2022-01-30,82
2022-02-06,86
2022-02-13,93
2022-02-20,93
2022-02-27,90
2022-03-06,93
2022-03-13,91
2022-03-20,95
2022-03-27,100
2022-04-03,98
2022-04-10,98
2022-04-17,96
2022-04-24,98
2022-05-01,98
2022-05-08,96
2022-05-15,90
2022-05-22,89
2022-05-29,86
2022-06-05,88
2022-06-12,82
2022-06-19,89
2022-06-26,85
2022-07-03,82
2022-07-10,81
2022-07-17,82
2022-07-24,82
2022-07-31,81
2022-08-07,79
2022-08-14,79
2022-08-21,84
2022-08-28,83
2022-09-04,85
2022-09-11,88
2022-09-18,88
2022-09-25,84
2022-10-02,86
2022-10-09,92
2022-10-16,92
2022-10-23,93
2022-10-30,93
2022-11-06,90
2022-11-13,92
2022-11-20,83
2022-11-27,89
2022-12-04,90
2022-12-11,93
2022-12-18,84
2022-12-25,83
2023-01-01,87
2023-01-08,92
2023-01-15,86
2023-01-22,89
2023-01-29,91
